trades,wins,losses,hit_rate_pct,stake_dollars,fees_dollars,pnl_dollars,roi_pct_on_stake,city,temp_side
9,4,5,44.44444444444444,59.32,0.6699999999999999,-86.99,-146.64531355360756,Austin,high
8,1,7,12.5,66.95,0.23,-121.18,-181.00074682598952,Los Angeles,high
8,5,3,62.5,43.76,0.72,-61.48,-140.49360146252286,Philadelphia,high
7,4,3,57.142857142857146,51.48,0.24000000000000002,-22.61,-43.91996891996892,Atlanta,high
7,3,4,42.857142857142854,39.55,0.49,-55.04,-139.16561314791403,Austin,low
7,3,4,42.857142857142854,53.11,0.38,-37.940000000000005,-71.43664093391077,Dallas,high
7,3,4,42.857142857142854,53.14,0.39,-45.24,-85.13360933383515,Minneapolis,high
7,5,2,71.42857142857143,55.35,0.48,-20.65,-37.308039747064136,New York City,low
7,4,3,57.142857142857146,65.6,0.19,-69.97,-106.66158536585367,Phoenix,high
7,5,2,71.42857142857143,50.36,0.17,45.57999999999999,90.5083399523431,San Francisco,high
6,4,2,66.66666666666667,35.74,0.19,-36.71,-102.71404588696139,Denver,low
6,2,4,33.333333333333336,50.57,0.23,-86.8,-171.643266758948,Las Vegas,high
6,4,2,66.66666666666667,50.55,0.2,58.099999999999994,114.93570722057368,Miami,high
6,4,2,66.66666666666667,50.46,0.28,-34.9,-69.16369401506144,Philadelphia,low
6,4,2,66.66666666666667,50.32,0.18,36.22,71.97933227344993,Washington DC,high
5,2,3,40.0,23.88,0.37,-4.670000000000002,-19.556113902847578,Chicago,low
5,1,4,20.0,50.08,0.18,-89.26,-178.23482428115017,Denver,high
5,2,3,40.0,48.74,0.11000000000000001,-87.85,-180.24210094378333,Houston,high
5,4,1,80.0,7.43,0.34,3.23,43.472409152086136,New York City,high
5,3,2,60.0,23.41,0.38,-29.79,-127.25331055104657,San Antonio,high
5,1,4,20.0,35.93,0.26,-64.19,-178.65293626495964,Seattle,high
4,2,2,50.0,21.38,0.14,-31.52,-147.42750233863424,Boston,high
4,2,2,50.0,46.6,0.03,-40.85,-87.66094420600858,Chicago,high
4,3,1,75.0,32.6,0.07,-7.859999999999999,-24.11042944785276,Oklahoma City,high
2,0,2,0.0,5.79,0.21000000000000002,-6.0,-103.62694300518135,Miami,low
2,1,1,50.0,3.04,0.1,-0.14000000000000012,-4.605263157894741,New Orleans,high
