city,trades,avg_pnl_per_trade,pnl_stddev
San Francisco,7,6.51142857142857,20.239859844638556
Dallas,7,-5.420000000000001,17.744025956441146
Las Vegas,6,-14.466666666666667,15.612156232315323
Houston,5,-17.57,15.22398108248956
Los Angeles,8,-15.1475,14.888343385010973
Austin,16,-8.876875,14.439314699263779
Denver,11,-11.451818181818181,14.250360644994101
Seattle,5,-12.838,14.069888983215183
Phoenix,7,-9.995714285714286,13.059348985242998
Boston,4,-7.88,12.875474748528692
Philadelphia,14,-6.884285714285714,12.699817048336739
San Antonio,5,-5.958,12.139422391530827
Miami,8,6.5125,11.765533083970313
Atlanta,7,-3.23,11.242406961399071
Minneapolis,7,-6.4628571428571435,10.352426512363058
Washington DC,6,6.036666666666666,10.291633603185756
Chicago,9,-5.057777777777778,9.096053818097625
New York City,12,-1.4516666666666669,8.91295857476941
Oklahoma City,4,-1.9649999999999999,3.792060785377787
New Orleans,2,-0.07000000000000006,1.27
