city,temp_side,trades,wins,losses,hit_rate_pct,roi_pct,pnl_dollars
Las Vegas,high,3,2,1,66.67,57.45,3.2
New York City,high,5,4,1,80.0,43.47,3.23
Austin,high,6,4,2,66.67,21.02,3.01
San Francisco,high,4,2,2,50.0,8.77,0.47
Phoenix,high,3,2,1,66.67,3.75,0.21
San Antonio,high,4,3,1,75.0,2.5,0.21
Philadelphia,high,6,5,1,83.33,-10.76,-1.48
Los Angeles,high,4,1,3,25.0,-16.98,-1.18
Boston,high,3,2,1,66.67,-23.82,-1.52
Atlanta,high,4,2,2,50.0,-26.54,-1.72
Washington DC,high,3,1,2,33.33,-28.2,-1.5
Dallas,high,4,2,2,50.0,-30.7,-2.49
Miami,high,3,1,2,33.33,-49.55,-2.75
Minneapolis,high,4,1,3,25.0,-55.65,-4.53
Seattle,high,3,1,2,33.33,-70.66,-4.19
Philadelphia,low,3,2,1,66.67,187.91,10.26
New York City,low,4,3,1,75.0,98.26,10.17
Austin,low,5,3,2,60.0,51.94,4.96
Denver,low,4,3,1,75.0,18.64,1.07
Chicago,low,4,1,3,25.0,-70.38,-6.25
