ts_est,date,city,temp_side,ticker,bet,line,count,price_cents,stake_dollars,fee_dollars,realized_outcome_f,realized_correct,realized_pnl_dollars
2026-03-08 12:00:00 AM EST,2026-03-08,Miami,low,KXLOWTMIA-26MAR08-T72,BUY NO,73F or above,8,48.375,3.87,0.14,73.0,False,-4.01
2026-03-08 12:03:00 AM EST,2026-03-08,Miami,high,KXHIGHMIA-26MAR08-B84.5,BUY NO,84F to 85F,4,51.0,2.04,0.07,84.0,False,-2.11
2026-03-08 12:14:00 AM EST,2026-03-08,Philadelphia,high,KXHIGHPHIL-26MAR08-B69.5,BUY NO,69F to 70F,4,66.0,2.64,0.07,73.0,True,1.29
2026-03-08 12:20:00 AM EST,2026-03-08,Boston,high,KXHIGHTBOS-26MAR08-B58.5,BUY NO,58F to 59F,4,77.0,3.08,0.05,59.0,False,-3.13
2026-03-08 12:24:00 AM EST,2026-03-08,Philadelphia,low,KXLOWTPHIL-26MAR08-T47,BUY YES,46F or below,10,23.000000000000004,2.3000000000000003,0.13,46.0,True,7.5699999999999985
2026-03-08 12:32:00 AM EST,2026-03-08,Atlanta,high,KXHIGHTATL-26MAR08-B73.5,BUY NO,73F to 74F,1,86.0,0.86,0.01,69.0,True,0.13
2026-03-08 01:02:00 AM EST,2026-03-08,Dallas,high,KXHIGHTDAL-26MAR08-B72.5,BUY NO,72F to 73F,4,67.0,2.68,0.07,74.0,True,1.25
2026-03-08 01:06:00 AM EST,2026-03-08,San Antonio,high,KXHIGHTSATX-26MAR08-B70.5,BUY NO,70F to 71F,2,80.0,1.6,0.03,63.0,True,0.37
2026-03-08 01:10:00 AM EST,2026-03-08,New Orleans,high,KXHIGHTNOLA-26MAR08-B80.5,BUY NO,80F to 81F,3,59.0,1.77,0.06,76.0,True,1.1700000000000002
2026-03-08 01:20:00 AM EST,2026-03-08,Chicago,high,KXHIGHCHI-26MAR08-B63.5,BUY NO,63F to 64F,2,80.0,1.6,0.03,63.0,False,-1.6300000000000001
2026-03-08 01:24:00 AM EST,2026-03-08,New York City,high,KXHIGHNY-26MAR08-B66.5,BUY NO,66F to 67F,4,74.0,2.96,0.06,69.0,True,0.98
2026-03-08 01:28:00 AM EST,2026-03-08,Austin,high,KXHIGHAUS-26MAR08-B69.5,BUY NO,69F to 70F,8,38.5,3.08,0.08,67.0,True,-3.16
2026-03-08 05:09:00 AM EST,2026-03-08,Denver,high,KXHIGHDEN-26MAR08-T65,BUY NO,66F or above,6,58.0,3.48,0.11,65.0,True,2.41
2026-03-08 05:09:00 AM EST,2026-03-08,Los Angeles,high,KXHIGHLAX-26MAR08-B86.5,BUY NO,86F to 87F,6,62.0,3.72,0.1,88.0,True,2.1799999999999997
2026-03-08 05:21:00 AM EST,2026-03-08,Phoenix,high,KXHIGHTPHX-26MAR08-B90.5,BUY NO,90F to 91F,4,70.0,2.8,0.06,89.0,True,1.14
2026-03-08 05:43:00 AM EST,2026-03-08,Chicago,low,KXLOWTCHI-26MAR08-B34.5,BUY NO,34F to 35F,10,24.0,2.4,0.13,34.0,False,-2.53
2026-03-08 05:52:00 AM EST,2026-03-08,Austin,low,KXLOWTAUS-26MAR08-B53.5,BUY NO,53F to 54F,10,22.000000000000004,2.2,0.13,53.0,False,-2.33
2026-03-08 06:02:00 AM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B72.5,BUY NO,72F to 73F,4,66.0,2.64,0.07,74.0,True,1.29
2026-03-08 06:17:00 AM EST,2026-03-08,Las Vegas,high,KXHIGHTLV-26MAR08-B74.5,BUY NO,74F to 75F,7,43.0,3.01,0.13,73.0,True,3.8600000000000003
2026-03-08 06:24:00 AM EST,2026-03-08,San Antonio,high,KXHIGHTSATX-26MAR08-B68.5,BUY NO,68F to 69F,7,55.0,3.85,0.13,63.0,True,3.02
2026-03-08 06:48:00 AM EST,2026-03-08,New York City,low,KXLOWTNYC-26MAR08-B51.5,BUY NO,51F to 52F,10,30.0,3.0,0.15,50.0,True,6.85
2026-03-08 06:48:00 AM EST,2026-03-08,Houston,high,KXHIGHTHOU-26MAR08-B75.5,BUY NO,75F to 76F,4,67.0,2.68,0.07,71.0,True,1.25
2026-03-08 06:54:00 AM EST,2026-03-08,New York City,low,KXLOWTNYC-26MAR08-T45,BUY NO,44F or below,8,46.0,3.68,0.14,50.0,True,4.18
2026-03-08 07:24:00 AM EST,2026-03-08,Washington DC,high,KXHIGHTDC-26MAR08-B74.5,BUY NO,74F to 75F,4,63.0,2.52,0.07,76.0,True,1.41
2026-03-08 07:54:00 AM EST,2026-03-08,New York City,low,KXLOWTNYC-26MAR08-B49.5,BUY NO,49F to 50F,10,23.000000000000004,2.3000000000000003,0.13,50.0,False,-2.43
2026-03-08 08:24:55 AM EST,2026-03-08,Oklahoma City,high,KXHIGHTOKC-26MAR08-B74.5,BUY NO,74F to 75F,3,62.0,1.86,0.05,75.0,False,-1.9100000000000001
2026-03-08 08:51:45 AM EST,2026-03-08,Los Angeles,high,KXHIGHLAX-26MAR08-B88.5,BUY NO,88F to 89F,2,67.0,1.34,0.04,88.0,False,-1.3800000000000001
2026-03-08 09:02:19 AM EST,2026-03-08,Philadelphia,high,KXHIGHPHIL-26MAR08-B71.5,BUY NO,71F to 72F,2,68.0,1.36,0.04,73.0,True,0.6
2026-03-08 11:19:00 AM EST,2026-03-08,Minneapolis,high,KXHIGHTMIN-26MAR08-T61,BUY NO,60F or below,8,30.0,2.4,0.12,60.0,False,-2.52
2026-03-08 01:02:00 PM EST,2026-03-08,New Orleans,high,KXHIGHTNOLA-26MAR08-B76.5,BUY NO,76F to 77F,2,66.0,1.32,0.04,76.0,False,-1.36
2026-03-08 01:10:00 PM EST,2026-03-08,Atlanta,high,KXHIGHTATL-26MAR08-B69.5,BUY NO,69F to 70F,6,33.0,1.98,0.1,69.0,False,-2.08
2026-03-08 02:35:00 PM EST,2026-03-08,Dallas,high,KXHIGHTDAL-26MAR08-B74.5,BUY NO,74F to 75F,3,62.0,1.86,0.05,74.0,False,-1.9100000000000001
2026-03-08 03:32:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,2,53.0,1.06,0.04,74.0,True,0.8999999999999999
